Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.552
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.868
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.816
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.951
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.504
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.384
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.831
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.769
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.738
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.792
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.715
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.638
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.872
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.933
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.864
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.972
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.961
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.297
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.287
